Date,High,Low,Open,Close,Volume,Adj Close
2020/9/1,92.19000244,88.29000092,91.59999847,91.77999878,3083999,91.77999878
2020/9/2,93.37999725,90.29000092,92,92.45999908,2568645,92.45999908
2020/9/3,94.80999756,90.15000153,92.55000305,91.29000092,3335166,91.29000092
2020/9/4,90.98999786,86.93000031,90.29000092,87.87000275,4285280,87.87000275
2020/9/7,88.90000153,84.30000305,88.04000092,85,4511719,85
2020/9/8,87.18000031,83.59999847,86.31999969,85.62000275,3740871,85.62000275
2020/9/9,86.81999969,82.68000031,86,83.29000092,3306328,83.29000092
2020/9/10,87.87999725,83.16999817,84.79000092,86.01000214,3891146,86.01000214
2020/9/11,90.29000092,85.22000122,85.69000244,89.30000305,2904152,89.30000305
2020/9/14,98.23000336,94.08000183,96,98.23000336,2084249,98.23000336
2020/9/15,101.8799973,96.87999725,99,98.55000305,8120064,98.55000305
2020/9/16,101.7900009,99.19000244,99.19000244,100.4800034,3881575,100.4800034
2020/9/17,101.2900009,97.13999939,97.45999908,99.88999939,4280569,99.88999939
2020/9/18,101.5500031,96.66000366,97.01000214,100.5699997,3069485,100.5699997
2020/9/21,100.9000015,97.83000183,100.9000015,100.5100021,2164425,100.5100021
2020/9/22,101.4899979,98.58999634,99.30999756,99.54000092,1953586,99.54000092
2020/9/23,104.0800018,99.26000214,100.5,102.5,3163928,102.5
2020/9/24,104.4700012,97.63999939,97.63999939,102.6999969,2383659,102.6999969
2020/9/25,105.4499969,101.0999985,103.9000015,104.2099991,2365031,104.2099991
2020/9/28,106.5999985,102,105,104.3300018,2548302,104.3300018
2020/9/29,105.2799988,101,105.2799988,104.0899963,1930338,104.0899963
2020/9/30,105.5,102.5299988,105,103.1900024,1960074,103.1900024
2020/10/9,103.8000031,99.26999664,102.1500015,102.8600006,4655026,102.8600006
2020/10/12,107.5800018,102.0599976,103.3799973,105.8000031,3283534,105.8000031
2020/10/13,108.5899963,105.3799973,106.8099976,106,1960767,106
2020/10/14,107.9000015,105.1800003,105.1800003,106.9199982,2351664,106.9199982
2020/10/15,108.2300034,105.0899963,108,106.9499969,1791109,106.9499969
2020/10/16,109.6600037,104.9899979,108.4000015,106.5100021,1872907,106.5100021
2020/10/19,107.3000031,103,107,103,1918300,103
2020/10/20,107,103.0599976,103.9100037,106.9100037,2074356,106.9100037
2020/10/21,106.4100037,103.1999969,105.5199966,103.9199982,1875918,103.9199982
2020/10/22,104.7900009,99.87999725,103.7900009,103.3499985,2208162,103.3499985
2020/10/23,106.3000031,99.26000214,103.3499985,99.87000275,2198071,99.87000275
2020/10/26,103.9400024,96,97.44000244,102.0599976,2682845,102.0599976
2020/10/27,103.8799973,101.7200012,102.0599976,102.8099976,985927,102.8099976
